index,news_id,pos_words,pos_weights,neg_words,neg_weights
11,3571,"[""双城"", ""2020"", ""两地"", ""身份证"", ""官方"", ""政府"", ""化"", ""重庆"", ""年"", ""补办"", ""交通""]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[""推出"", ""协同"", ""逐步"", ""渠道"", ""成渝"", ""服务"", ""流程"", ""事项"", ""清单"", ""和"", ""医疗"", ""查询"", ""建设"", ""优化"", ""涵盖"", ""、"", ""领域"", ""旨在"", ""可""]","[-0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0]"
12,6314,"[""如果"", ""武汉"", ""多"", ""假新闻"", ""等"", ""冒充"", ""就"", ""是"", ""编"", ""轻易""]","[5e-06, 5e-06, 5e-06, 4e-06, 4e-06, 4e-06, 4e-06, 4e-06, 4e-06, 3e-06]","[""影响"", ""里"", ""案例"", ""整体"", ""面前"", ""服众"", ""有"", ""交代"", ""也"", ""警察"", ""很"", ""这样"", ""透明"", ""办案"", ""敢"", ""理性"", ""保持"", ""程序"", ""受害者"", ""。""]","[-3e-06, -3e-06, -3e-06, -3e-06, -3e-06, -3e-06, -2e-06, -2e-06, -2e-06, -2e-06, -2e-06, -2e-06, -2e-06, -2e-06, -2e-06, -2e-06, -2e-06, -2e-06, -2e-06, -1e-06]"
13,4506,"[""年"", ""在"", ""成功"", ""曾"", ""自缢身亡"", ""美国""]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[""而"", ""童年"", ""Linkin"", ""嗓音"", ""队"", ""。"", ""岁"", ""歌词"", ""Chester"", ""摇滚"", ""摇滚乐"", ""20"", ""年仅"", ""，"", ""贝宁"", ""月"", ""问题"", ""7"", ""全球"", ""查"", ""谈论"", ""之一"", ""深刻"", ""酒精""]","[-0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0]"
14,3245,"[""以免"", ""试飞员"", ""中国空军"", ""不"", ""不当"", ""贡献"", ""公众"", ""误导"", ""应"", ""与"", ""退役"", ""使"", ""网络"", ""言论"", ""也"", ""避免""]","[0.003164, 0.002881, 0.002713, 0.002695, 0.002675, 0.002669, 0.002665, 0.002605, 0.002496, 0.00241, 0.002405, 0.002372, 0.002332, 0.002153, 0.001846, 0.001838]","[""注意"", ""随意"", ""军队"", ""值得尊敬"", ""”"", ""人物"", ""最终"", ""他人"", ""评论者"", ""重要"", ""是"", ""立场"", ""关注"", ""该""]","[-0.001927, -0.001566, -0.001562, -0.001501, -0.001391, -0.001323, -0.001314, -0.001271, -0.000998, -0.000932, -0.000931, -0.000793, -0.000701, -0.000673]"
15,1361,"[""没有"", ""最新消息"", ""为准"", ""真实性"", ""目前"", ""核实"", ""请以"", ""银川"", ""警方"", ""确认"", ""转发"", ""大家"", ""本地人"", ""走失"", ""但"", ""，"", ""我"", ""建议"", ""像是"", ""前"", ""管理处"", ""照片""]","[4e-06, 3e-06, 2e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 0.0, 0.0, 0.0, 0.0, 0.0]","[""公园"", ""孩子"", ""通报"", ""联系电话"", ""拨打"", ""联系"", ""是"", ""提示""]","[-1e-06, -1e-06, -1e-06, -1e-06, -1e-06, -0.0, -0.0, -0.0]"
16,4479,"[""官方"", ""太"", ""展览"", ""珍贵"", ""肯定"", ""也"", ""都"", ""没"", ""多"", ""，""]","[0.000753, 0.00051, 0.00045, 0.000419, 0.000344, 0.000314, 0.000291, 0.000194, 0.000192, 0.000183]","[""哥哥"", ""运气"", ""分享"", ""夏"", ""爆棚"", ""开幕"", ""很"", ""到"", ""拍"", ""永远"", ""幕后"", ""镜头"", ""摄影师"", ""更"", ""看看"", ""魅力"", ""那么"", ""现场"", ""想"", ""有""]","[-0.000619, -0.00049, -0.000444, -0.000427, -0.000425, -0.00041, -0.000406, -0.000388, -0.000387, -0.000379, -0.000377, -0.000376, -0.000359, -0.000351, -0.000338, -0.000332, -0.000304, -0.000297, -0.000288, -0.00028]"
17,2472,"[""年"", ""争议"", ""引发"", ""民航局"", ""中国"", ""航空公司"", ""地震"", ""航司"", ""救援"", ""舱位"", ""更高"", ""明确规定"", ""票价"", ""救灾"", ""根据"", ""报道"", ""航班"", ""2013"", ""承诺"", ""调价""]","[0.013452, 0.011588, 0.007639, 0.007408, 0.007242, 0.007176, 0.007062, 0.006826, 0.006255, 0.005992, 0.005886, 0.005644, 0.005515, 0.004955, 0.004874, 0.00476, 0.004721, 0.004314, 0.004307, 0.004039]","[""折扣"", ""哄抬"", ""，"", ""错觉"", ""。"", ""涨价"", ""在"", ""但"", ""曾"", ""稳定""]","[-0.009449, -0.008069, -0.007614, -0.007328, -0.006769, -0.006736, -0.005616, -0.00543, -0.005113, -0.003449]"
18,200,"[""注重"", ""简陋"", ""奥运会"", ""必要"", ""肯定"", ""更"", ""值得"", ""文化差异"", ""不能"", ""不同"", ""？"", ""两届"", ""非要"", ""确实"", ""可能"", ""。"", ""物价"", ""奥运村"", ""吧""]","[1.8e-05, 1.7e-05, 1.2e-05, 1.1e-05, 1.1e-05, 9e-06, 9e-06, 9e-06, 8e-06, 8e-06, 6e-06, 6e-06, 5e-06, 5e-06, 5e-06, 5e-06, 5e-06, 5e-06, 4e-06]","[""英国"", ""，"", "","", ""自己"", ""看"", ""特色"", ""欧洲人"", ""有"", ""震撼"", ""高是"", ""和""]","[-1e-05, -9e-06, -8e-06, -5e-06, -5e-06, -4e-06, -4e-06, -4e-06, -4e-06, -4e-06, -3e-06]"
19,3036,"[""造谣"", ""年"", ""说法"", ""2022"", ""缺乏"", ""网传"", ""新"", ""城管"", ""这"", ""掐头去尾"", ""明显"", ""修订"", ""的"", ""？"", ""："", ""也"", ""规范"", ""敢"", ""将"", ""《""]","[1.9e-05, 1e-05, 1e-05, 9e-06, 8e-06, 8e-06, 8e-06, 8e-06, 6e-06, 6e-06, 6e-06, 6e-06, 6e-06, 6e-06, 5e-06, 5e-06, 5e-06, 4e-06, 4e-06, 4e-06]","[""语境"", ""执法"", ""打"", ""打早"", ""记录仪"", ""劝"", ""道"", ""拦住"", ""基本法"", ""。""]","[-8e-06, -7e-06, -7e-06, -5e-06, -4e-06, -4e-06, -3e-06, -3e-06, -3e-06, -2e-06]"
20,5528,"[""建立"", ""根据"", ""并非"", ""市场""]","[1.1e-05, 1e-05, 8e-06, 1e-06]","[""加强"", ""现有"", ""推出"", ""对"", ""文化部"", ""的"", ""完善"", ""网络"", ""2015"", ""音乐"", ""改进"", ""，"", ""了"", ""实施"", ""《"", ""措施"", ""规范"", ""审核"", ""明确"", ""强化"", ""全新"", ""为"", ""旨在"", ""监管"", ""》"", ""。""]","[-3e-06, -3e-06, -3e-06, -3e-06, -3e-06, -3e-06, -3e-06, -3e-06, -3e-06, -3e-06, -3e-06, -2e-06, -2e-06, -2e-06, -2e-06, -2e-06, -2e-06, -2e-06, -2e-06, -2e-06, -2e-06, -2e-06, -2e-06, -2e-06, -1e-06, -1e-06]"
21,3912,"[""年"", ""72"", ""吧"", ""就"", ""争端"", ""史上"", ""了"", ""收购"", ""恢复"", ""上"", ""早就"", ""新闻"", ""凉透"", ""属"", ""。""]","[0.007634, 0.007386, 0.00727, 0.006228, 0.006055, 0.005924, 0.005886, 0.005869, 0.005346, 0.005266, 0.005223, 0.004491, 0.003932, 0.003889, 0.003591]","["","", ""问题"", ""*"", ""纠纷"", ""亿美元"", ""PMI"", ""支出"", ""炒冷饭"", ""计提"", ""小编"", ""所持"", ""若"", ""."", ""经济"", ""一次""]","[-0.00919, -0.00858, -0.007197, -0.007099, -0.006802, -0.00669, -0.00653, -0.006484, -0.006328, -0.005649, -0.005594, -0.00551, -0.005161, -0.004076, -0.002924]"
22,5307,"[""对"", ""不"", ""中国"", ""而是"", ""价值"", ""申报材料"", ""公开"", ""规定"", ""符合"", ""企业"", ""资本"", ""进行"", ""此前""]","[1e-06, 1e-06, 1e-06, 1e-06, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[""此次"", ""制"", ""简化"", ""趋势"", ""证券法"", ""发行"", ""注册"", ""旨在"", ""市场"", ""，"", ""制是"", ""发行股票"", ""改革"", ""时"", ""投资"", ""适用"", ""流程""]","[-1e-06, -1e-06, -1e-06, -1e-06, -1e-06, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0]"
23,3395,"[""新闻"", ""这种"", ""的"", ""希望"", ""一次"", ""这么"", ""不能"", ""啊"", ""怎么"", ""生命"", ""悲剧"", ""不再""]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[""孩子"", ""家长"", ""管理"", ""安全"", ""学校"", ""特别"", ""加强"", ""演练"", ""开玩笑"", ""注意安全"", ""看到"", ""只有"", ""教育"", ""也"", ""多"", ""拿"", ""都"", ""，""]","[-0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0]"
24,967,"[""信其"", ""可怕"", ""于未然"", ""插座"", ""宁可信其有"", ""不能"", ""这种"", ""转发"", ""一定"", ""不可"", ""检查"", ""无"", ""事情"", ""以后"", ""有"", ""真的"", ""已经""]","[0.000612, 0.000452, 0.000379, 0.000348, 0.000312, 0.000262, 0.000258, 0.000206, 0.000195, 0.000133, 0.00013, 0.000128, 0.000116, 0.000109, 9.6e-05, 6.3e-05, 5.6e-05]","[""家里"", ""家庭"", ""小孩"", ""群"", ""防范"", ""，"", ""感谢"", ""还是"", ""完"", ""大意"", ""看"", ""的"", ""提醒""]","[-0.000262, -0.000209, -0.000201, -0.000163, -0.000159, -0.000149, -0.000139, -0.000135, -0.000128, -0.000119, -0.00011, -9.7e-05, -6.8e-05]"
25,4869,"[""政府"", ""的"", ""也"", ""不"", "","", ""解决不了"", ""野生"", ""建议"", ""肯定"", ""严惩"", ""不该"", ""问题"", ""香蕉"", ""社会"", ""村民"", ""了"", ""没"", ""常见""]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[""。"", ""打人"", ""围栏"", ""香蕉园"", ""游客"", ""两败俱伤"", ""，"", ""路边"", ""在"", ""但"", ""上来"", ""刀""]","[-0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0]"
26,3385,"[""不"", ""政府"", ""当地"", "","", ""这种"", ""低"", ""希望"", ""啊"", ""要"", ""工作人员"", ""遇到"", ""大家"", ""通常"", ""属于""]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[""天气"", ""感谢"", ""冷天"", ""有序"", ""。"", ""大"", ""，"", ""容易"", ""能"", ""在"", ""天"", ""多变"", ""海南岛"", ""看到"", ""忙碌"", ""能见度""]","[-0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0]"
27,6142,"[""武汉大学"", ""才"", ""武大"", ""广泛"", ""行情"", ""因"", ""网络"", ""曾"", ""用"", ""一项"", ""真挚"", ""的""]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[""反转"", ""情感"", ""获奖作品"", ""构思"", ""通过"", ""表达"", ""。"", ""想念"", ""巧妙"", ""深沉"", ""作品"", ""参赛者"", ""在"", ""你"", ""文字"", ""走红"", ""\"""", ""，""]","[-0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0]"
28,2729,"[""传言"", ""死刑"", ""无"", ""证实"", ""官方"", ""较为"", ""信息"", ""阴谋论"", ""均"", ""的"", ""这"", ""判处死刑"", ""被判"", ""没"", ""传得"", ""杀人罪"", ""事"", ""当年"", ""都市"", ""玄乎""]","[1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[""璟"", ""表现"", ""全"", ""媒体"", ""兄弟"", ""案例"", ""还是"", ""，"", ""以"", ""中国""]","[-1e-06, -1e-06, -1e-06, -1e-06, -1e-06, -1e-06, -0.0, -0.0, -0.0, -0.0]"
29,1323,"[""造谣"", ""没有"", ""传"", ""官方"", ""新闻"", ""证据"", ""招远"", ""的"", ""金矿"", ""年"", ""太多"", ""."", ""12"", ""有点"", ""？"", ""这么"", ""了"", ""确实""]","[0.4507, 0.224553, 0.206223, 0.139649, 0.138188, 0.090274, 0.078563, 0.076702, 0.058463, 0.058449, 0.057929, 0.057716, 0.056831, 0.056521, 0.055922, 0.04639, 0.044087, 0.038456]","[""反转"", ""逻辑"", ""不太通"", ""知道"", ""通报"", ""不"", ""私自"", ""手里"", ""矿主"", ""感觉"", ""出来"", ""但""]","[-0.096769, -0.065184, -0.047527, -0.04239, -0.040816, -0.039554, -0.038252, -0.038051, -0.037384, -0.036055, -0.034179, -0.031446]"
30,3343,"[""严重错误"", ""丑恶"", ""不是"", ""拍摄者"", ""绝对"", ""也"", ""建议"", ""不会"", ""招聘"", ""只会"", ""这种"", ""视频"", ""全国"", ""的"", ""曝光""]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[""老师"", ""有些"", ""助长"", ""。"", ""学生"", ""难管"", ""做法"", ""但"", ""体罚"", ""混进"", ""，"", ""让"", ""？"", ""先犯"", ""现象""]","[-0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0]"
31,3145,"[""2010"", ""历史"", ""年"", ""当时"", ""最低"", ""国企改革"", ""就业"", ""不"", ""的"", ""数千万"", ""导致"", ""2002"", ""基本"", ""潮是"", ""现象"", ""下岗职工""]","[0.000177, 0.000173, 0.000171, 0.00014, 0.000116, 9.6e-05, 9.4e-05, 9.1e-05, 7.4e-05, 7.3e-05, 7.2e-05, 6.8e-05, 6.3e-05, 5.4e-05, 5.1e-05, 4.7e-05]","[""建立"", ""等"", ""铁饭碗"", ""后续"", ""制度"", ""涉及"", ""帮扶"", ""世纪"", ""保障"", ""临时"", ""。"", ""各地"", ""生活"", ""社会""]","[-0.000164, -0.000111, -0.000107, -0.0001, -9.9e-05, -9.8e-05, -9.6e-05, -9.1e-05, -8.3e-05, -7.8e-05, -7.4e-05, -7e-05, -6.9e-05, -4.2e-05]"
32,5976,"[""这种"", ""查"", ""严查"", ""更"", ""多少"", ""啊"", ""技术手段"", ""连"", ""早该"", ""他们"", ""都""]","[0.02759, 0.016464, 0.014291, 0.01028, 0.009736, 0.009236, 0.008638, 0.008493, 0.007325, 0.006114, 0.005745]","[""獐子"", ""股民"", ""厉害"", ""岛"", ""上市公司"", ""，"", ""路"", ""北斗"", ""这次"", ""看"", "","", ""公司"", ""以后"", ""终于"", ""财务"", ""扇贝"", ""多"", ""栽"", ""跑""]","[-0.024791, -0.019104, -0.014482, -0.01436, -0.013121, -0.012636, -0.012089, -0.011733, -0.011485, -0.010608, -0.010163, -0.009585, -0.00869, -0.008225, -0.007537, -0.007158, -0.006826, -0.006021, -0.005841]"
33,1923,"[""旧闻"", ""湖北"", ""离谱"", ""这"", ""邮递"", ""发布者"", ""不"", ""的"", ""："", ""。"", ""假得"", ""早就"", ""说明"", ""疫情"", ""也"", ""太"", ""日历"", ""查查"", ""都"", ""搞"", ""建议""]","[0.100077, 0.079879, 0.04792, 0.041574, 0.040255, 0.039531, 0.030077, 0.024613, 0.022871, 0.021597, 0.01917, 0.018408, 0.01836, 0.017922, 0.017594, 0.016654, 0.014839, 0.014793, 0.013852, 0.013572, 0.011823]","[""示例"", ""故事"", ""AI"", ""星际"", ""，"", ""现在"", ""看看"", ""是不是"", ""好""]","[-0.055268, -0.042907, -0.038778, -0.02918, -0.0287, -0.023448, -0.023225, -0.014145, -0.013179]"
34,1916,"[""未经"", ""证实"", ""通过"", ""为准"", ""谣言"", ""核实"", ""的"", ""省份"", ""疫情"", ""宁波"", ""防控"", ""前应"", ""引发"", ""车牌号"", ""浙江"", ""官方"", ""通报"", ""车牌"", ""中国"", ""信息"", ""消息"", ""容易"", ""权威""]","[0.002739, 0.00272, 0.002287, 0.001951, 0.001924, 0.001856, 0.001778, 0.001727, 0.001453, 0.001421, 0.001406, 0.001373, 0.001319, 0.001136, 0.001129, 0.00112, 0.001081, 0.001079, 0.001052, 0.001048, 0.000957, 0.000864, 0.00084]","[""。"", ""，"", ""期间"", ""转发"", ""组成"", ""出现"", ""渠道""]","[-0.002762, -0.002336, -0.002031, -0.001498, -0.001478, -0.00135, -0.001134]"
35,5609,"[""轻易"", ""严重"", ""网上"", ""不"", ""的"", ""附上"", ""聊天记录"", ""通报"", ""吧"", ""大"", ""没有"", ""这个"", ""很"", ""公开信""]","[1e-06, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[""执法权"", ""，"", ""是"", ""站队"", ""指控"", ""程序"", ""现在"", ""还是"", ""等"", ""走"", ""证据不足"", ""小"", ""具体"", ""学校"", ""证据"", ""啊""]","[-1e-06, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0]"
36,1171,"[""假消息"", ""不"", ""官微"", ""网警"", ""这事"", ""查查"", ""根本"", ""弱势群体"", ""血衣"", ""站"", ""从没"", ""这"", ""郑州"", ""警车"", ""没人拦""]","[0.001364, 0.001252, 0.001157, 0.001125, 0.001088, 0.000891, 0.000845, 0.000811, 0.000784, 0.000763, 0.000761, 0.000754, 0.00071, 0.000681, 0.000674]","[""最后"", ""像"", ""啥"", ""走心"", ""。"", ""编号"", ""明显"", ""也"", ""现在"", ""是"", ""真"", ""拍"", ""摆"", ""编"", ""记录""]","[-0.000873, -0.00078, -0.000699, -0.000687, -0.00065, -0.000592, -0.000584, -0.000574, -0.00057, -0.000549, -0.00053, -0.000495, -0.000466, -0.000449, -0.000324]"
37,736,"[""不提"", ""证实"", ""从未"", ""从没"", ""没有"", ""传闻"", ""香艳"", ""公开"", ""上海"", ""官方"", ""称为"", ""使用"", ""受贿"", ""挪用"", ""违规"", ""社保"", ""这种"", ""该案"", ""里""]","[2e-06, 2e-06, 2e-06, 2e-06, 2e-06, 2e-06, 2e-06, 2e-06, 2e-06, 2e-06, 2e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06]","[""名字"", ""类"", ""祝均"", ""戏剧化"", ""被判"", ""表述"", ""其"", ""具体"", ""基金"", ""支撑"", ""故事""]","[-2e-06, -2e-06, -1e-06, -1e-06, -1e-06, -1e-06, -1e-06, -1e-06, -1e-06, -1e-06, -1e-06]"
