index,news_id,pos_words,pos_weights,neg_words,neg_weights
11,3571,"[""的"", ""办"", ""普通"", ""3"", ""30"", ""了"", ""！"", ""监控""]","[0.002642, 0.00219, 0.001933, 0.00187, 0.00181, 0.001454, 0.001122, 0.001064]","[""办公厅"", ""第一批"", ""电子"", ""川渝通"", ""处理"", ""，"", ""11"", ""四川"", ""消息"", ""）"", ""换证"", ""重庆市"", ""等"", ""印发"", ""、"", ""通办"", ""护照"", ""清单"", ""来"", ""；"", ""以及"", ""#""]","[-0.001748, -0.001399, -0.001286, -0.001231, -0.001197, -0.001162, -0.001073, -0.001053, -0.001039, -0.001035, -0.001029, -0.000971, -0.000953, -0.000922, -0.000907, -0.000895, -0.000882, -0.000878, -0.000788, -0.000783, -0.000738, -0.000679]"
12,6314,"[""c"", ""带领"", ""时"", ""她"", ""某"", ""瘾君子"", ""王女士"", ""交"", ""以及"", ""女子"", ""逼问"", ""在""]","[0.042886, 0.035379, 0.033351, 0.03069, 0.029926, 0.029654, 0.026943, 0.026777, 0.026083, 0.025173, 0.021299, 0.020456]","[""..."", ""全文"", ""，"", ""武汉"", ""。"", ""【"", ""展开"", ""2015"", ""民警"", ""打边"", ""罚款"", ""鲁某"", ""男子"", ""殴打"", ""打车"", ""凌晨"", ""被"", ""赌博""]","[-0.59073, -0.179362, -0.135368, -0.13432, -0.094527, -0.093626, -0.059634, -0.054035, -0.050297, -0.047574, -0.037969, -0.03565, -0.035155, -0.032851, -0.028554, -0.026768, -0.0245, -0.023981]"
13,4506,"[""但"", ""贝宁"", ""警察"", ""几乎"", ""男子"", ""林肯公园"", ""承认"", ""Drug"", ""是"", ""学校""]","[0.034167, 0.030843, 0.023599, 0.023296, 0.021683, 0.020606, 0.018728, 0.018653, 0.017555, 0.015765]","[""..."", ""全文"", ""排挤"", ""展开"", ""c"", ""和"", ""监护权"", ""报道"", ""哥哥"", ""这"", ""以"", ""查"", ""爸爸"", ""本身"", ""在"", ""也"", ""主唱"", ""侵过"", ""-"", ""不""]","[-0.181515, -0.130129, -0.08606, -0.0508, -0.037954, -0.034646, -0.034558, -0.029906, -0.026181, -0.025493, -0.02526, -0.02455, -0.021508, -0.021036, -0.02059, -0.019956, -0.018594, -0.017435, -0.015636, -0.015456]"
14,3245,"[""！"", ""闵行"", ""一定"", ""可"", ""视死如归"", ""铲"", ""用错"", ""地方"", ""搞"", ""飞"", ""现役军人"", ""肯定"", ""3"", ""不错"", ""那些"", ""通缉犯"", ""言论"", ""任何""]","[0.000771, 0.000722, 0.000704, 0.00066, 0.000616, 0.000602, 0.000592, 0.00059, 0.000575, 0.000557, 0.00055, 0.000545, 0.000538, 0.00049, 0.000468, 0.000466, 0.00046, 0.000394]","[""，"", ""言语"", ""构成"", ""飞行"", ""一直"", ""已"", ""懂得"", ""因为"", ""、"", "";"", ""欢畅"", ""要""]","[-0.00106, -0.000702, -0.00058, -0.000556, -0.000513, -0.000459, -0.000454, -0.000438, -0.000426, -0.000363, -0.000249, -0.000245]"
15,1361,"[""孩子"", ""转发"", ""陈士"", ""找"", ""男"", ""银川"", ""孟繁硕"", ""下身"", ""走失"", ""中山公园"", ""帮忙"", ""被"", ""穿"", ""拐卖"", ""在"", "" "", ""13369571569"", ""红色"", ""渠"", ""还""]","[0.002921, 0.002903, 0.002724, 0.002542, 0.002374, 0.002323, 0.002213, 0.002143, 0.002086, 0.001985, 0.001973, 0.001939, 0.001801, 0.001794, 0.001737, 0.001674, 0.001656, 0.001639, 0.001631, 0.001478]","[""这个"", ""，"", ""西门"", ""还是"", ""就"", ""确定"", ""运动鞋"", ""8"", ""今天"", ""@""]","[-0.004128, -0.003678, -0.003102, -0.003101, -0.002468, -0.002341, -0.002311, -0.002096, -0.001701, -0.001321]"
16,4479,"[""出名"", ""张国荣"", ""是"", ""了"", ""以前"", ""难"", ""未"", ""##"", ""明星""]","[0.062271, 0.021197, 0.019645, 0.019372, 0.017062, 0.01394, 0.012458, 0.010798, 0.009271]","[""摄影展"", ""明明"", ""哥哥"", ""开始"", ""看到"", ""这个"", ""#"", ""都"", ""开"", ""啊"", ""/"", ""我"", ""提前"", ""摄影师"", ""！"", ""好"", ""运气"", ""怎么"", ""那么"", ""能够"", ""夏""]","[-0.055392, -0.041827, -0.034434, -0.032773, -0.024232, -0.02358, -0.023548, -0.02113, -0.01641, -0.016056, -0.015678, -0.01459, -0.013291, -0.011798, -0.011644, -0.011358, -0.011036, -0.010866, -0.009716, -0.008877, -0.008604]"
17,2472,"[""怒"", ""发国难财"", ""地震"", ""！"", ""你"", ""机票"", ""伤亡者"", ""提高"", ""在"", ""["", ""无耻"", ""操"", ""却"", ""来"", ""何在"", ""后"", ""的"", ""，""]","[0.014775, 0.013361, 0.011766, 0.009835, 0.008434, 0.00764, 0.007037, 0.006397, 0.006294, 0.006214, 0.005811, 0.005577, 0.005548, 0.005416, 0.004732, 0.004703, 0.004263, 0.004134]","[""]"", ""飞"", ""志愿者"", ""折扣"", ""【"", ""。"", ""几小时"", ""现在"", ""成都"", ""低"", ""医护"", ""都""]","[-0.011849, -0.011593, -0.009825, -0.009802, -0.009175, -0.008679, -0.007921, -0.007705, -0.007468, -0.007142, -0.006834, -0.006302]"
18,200,"[""￥"", ""且"", ""北京奥运"", ""4"", ""元"", ""于"", ""开"", ""新建"", ""；"", ""矿泉水"", ""北京"", ""奥运村"", ""3"", ""高"", ""毕幕式"", ""年"", ""被"", ""102"", ""却"", ""临时"", ""球星"", ""如何""]","[0.000313, 0.000289, 0.000277, 0.000264, 0.000253, 0.000248, 0.000228, 0.000214, 0.000212, 0.000212, 0.000206, 0.000203, 0.000199, 0.000193, 0.000192, 0.000188, 0.000184, 0.000176, 0.000173, 0.000167, 0.000164, 0.000162]","[""14"", ""8.31"", ""2.7"", "" "", ""着迷"", ""达"", ""你"", ""？""]","[-0.000497, -0.000386, -0.000362, -0.000341, -0.000337, -0.000292, -0.000269, -0.000253]"
19,3036,"[""即"", ""要害"", ""致命"", ""管"", ""图中人"", ""曝"", ""哥们"", ""围殴"", ""上来"", ""的"", ""城管"", ""小贩"", ""，"", ""必然"", ""等"", ""群众"", ""围观"", ""被"", ""不是"", ""暴力""]","[0.000128, 0.000121, 0.000117, 0.000116, 0.000116, 0.000115, 0.000108, 0.000105, 0.000104, 9.5e-05, 9.3e-05, 9.3e-05, 8.8e-05, 8.7e-05, 8.6e-05, 8.5e-05, 8.2e-05, 7.7e-05, 7.5e-05, 6.5e-05]","[""终于"", ""而且"", ""已经"", ""是不是"", ""【"", ""这么"", ""残"", ""不管"", ""一个"", ""部位""]","[-0.000225, -0.0001, -9.1e-05, -8.4e-05, -5e-05, -4.6e-05, -4.6e-05, -4.5e-05, -3e-05, -3e-05]"
20,5528,"[""十分"", ""需先"", ""明年"", ""发"", ""要"", ""后"", ""文化部""]","[0.043333, 0.023293, 0.018071, 0.016745, 0.015632, 0.01257, 0.012144]","[""]"", ""#"", ""记者"", ""【"", ""话筒"", ""信息"", ""审核"", ""["", ""("", ""从"", ""】"", ""经营"", ""实行"", ""行政部门"", ""制度"", ""。"", ""将"", ""向"", ""企业"", ""通过"", ""自主"", ""拟"", ""提供""]","[-0.050391, -0.04987, -0.044008, -0.041338, -0.035542, -0.030915, -0.029527, -0.028744, -0.027611, -0.027115, -0.024918, -0.023664, -0.022228, -0.021347, -0.020588, -0.020064, -0.018436, -0.018052, -0.017052, -0.016996, -0.016746, -0.016207, -0.01231]"
21,3912,"[""庞哲"", ""耗资"", ""@"", ""凤凰"", ""支出"", ""纽约"", ""月"", ""ChenQianer"", ""1300""]","[0.196347, 0.127819, 0.113165, 0.086909, 0.077801, 0.056653, 0.042095, 0.038987, 0.037314]","[""早盘"", ""亿美元"", ""收购"", ""建筑"", ""美股"", ""业务"", ""8"", ""开盘"", ""视频"", ""攀升"", ""）"", ""来"", ""增速"", ""上涨"", ""0.6"", ""升至"", ""#"", ""美国"", ""最大"", ""交易"", ""制造业""]","[-0.15272, -0.147042, -0.114645, -0.093215, -0.083112, -0.080854, -0.079572, -0.069492, -0.068349, -0.06809, -0.066276, -0.061302, -0.054468, -0.054125, -0.053704, -0.052106, -0.04719, -0.04383, -0.040856, -0.040612, -0.031767]"
22,5307,"[""总理"", ""授权"", ""通过"", ""决定"", ""〉"", ""》"", ""李克强"", ""改革""]","[0.059715, 0.022963, 0.015936, 0.015197, 0.01411, 0.010526, 0.010058, 0.00948]","[""]"", ""["", ""深交所"", ""国务院"", ""上市"", ""中"", ""发行"", ""对拟"", ""证券法"", ""】"", ""关于"", ""适用"", ""话筒"", ""施行"", ""股票"", ""("", ""【"", ""注册"", ""之日起"", ""制度"", ""两年"", ""实行""]","[-0.074375, -0.056014, -0.046771, -0.043335, -0.041468, -0.030893, -0.028074, -0.027245, -0.027179, -0.025096, -0.024976, -0.023401, -0.022289, -0.01817, -0.016368, -0.015907, -0.015264, -0.014981, -0.014951, -0.014919, -0.013439, -0.012036]"
23,3395,"[""发生"", ""死亡"", ""同样"", ""事故"", ""的"", ""事情"", ""年"", ""小学生"", ""丽江"", ""！"", ""实验""]","[0.071934, 0.052887, 0.032326, 0.021465, 0.02114, 0.019819, 0.019647, 0.019285, 0.019044, 0.018935, 0.015508]","[""..."", ""踩踏"", ""素质教育"", ""排队"", ""|"", ""时许"", ""："", ""濮阳县"", ""学生"", ""。"", ""多么"", ""对"", ""孩子"", ""，"", ""日"", ""一起"", ""2"", ""2014"", ""已致""]","[-0.188637, -0.109952, -0.074974, -0.03853, -0.03489, -0.03411, -0.032964, -0.030967, -0.028862, -0.027763, -0.025851, -0.02405, -0.023684, -0.023374, -0.021007, -0.0208, -0.018142, -0.016148, -0.015347]"
24,967,"[""！"", ""大家"", ""请"", ""生命"", ""孩子"", ""小孩子"", ""保护"", ""转发"", ""把"", ""拔"", ""而"", ""："", ""手机"", ""。"", ""马上"", ""因为"", ""电"", ""结束""]","[0.05066, 0.04325, 0.042144, 0.036206, 0.029287, 0.023385, 0.023153, 0.023038, 0.023037, 0.022834, 0.021877, 0.021273, 0.020982, 0.01898, 0.016194, 0.01588, 0.013279, 0.012332]","[""细节"", ""这些"", ""接口"", ""看"", ""也"", ""充电器"", ""小"", ""完"", ""嘴里"", ""所有"", ""不要"", ""好""]","[-0.042083, -0.031926, -0.029593, -0.019498, -0.017913, -0.016636, -0.016621, -0.014545, -0.013507, -0.013359, -0.012758, -0.012601]"
25,4869,"[""明显"", ""2"", ""解决"", ""不知"", ""少摘"", ""损坏"", ""吓唬"", ""以"", ""后"", ""不可"", ""在"", ""用"", ""而"", ""日"", ""3""]","[0.002525, 0.00239, 0.001909, 0.001785, 0.001714, 0.001469, 0.001462, 0.001402, 0.001304, 0.001226, 0.000902, 0.000845, 0.000631, 0.000497, 0.000449]","[""网络"", ""未尽"", ""激化矛盾"", ""先用"", ""4"", ""应当"", ""矛盾"", ""报警"", ""什么样"", ""看护"", ""“"", ""维护"", ""触犯"", ""围打"", ""双方""]","[-0.00304, -0.00297, -0.002733, -0.002678, -0.002676, -0.002624, -0.002507, -0.002493, -0.002478, -0.002387, -0.002375, -0.002235, -0.002201, -0.00198, -0.001717]"
26,3385,"[""全力"", ""疏导"", ""志愿者"", ""送来"", ""在"", ""。"", ""车辆"", ""交警"", ""们"", ""，""]","[0.00251, 0.001839, 0.001373, 0.001059, 0.000929, 0.000793, 0.000767, 0.000643, 0.000373, 0.000356]","[""网站"", ""天气"", ""航行"", ""|"", ""#"", ""的"", ""海口"", ""护"", ""通行"", ""静候"", ""大雾"", ""特殊"", ""总队"", ""时期"", ""滞留"", ""因雾"", ""为"", ""我们"", ""海南省"", ""人民政府""]","[-0.002972, -0.002671, -0.002419, -0.002334, -0.002135, -0.002124, -0.001954, -0.001863, -0.001815, -0.00176, -0.001744, -0.001722, -0.001715, -0.001224, -0.001152, -0.001036, -0.001034, -0.000947, -0.00068, -0.000671]"
27,6142,"[""武大"", ""不明"", ""呵呵"", ""三"", ""第一名"", ""才"", ""。"", ""也许"", ""会"", ""后""]","[0.127825, 0.047101, 0.04491, 0.042192, 0.026817, 0.024995, 0.01747, 0.014473, 0.008619, 0.004492]","[""行情"", ""]"", ""”"", ""书"", ""想念"", ""细细"", ""点赞"", ""“"", ""["", ""世界"", ""揣摩"", ""乍一看"", ""着"", ""所以"", ""我"", ""你"", ""颠覆"", ""哭"", ""，""]","[-0.126792, -0.082289, -0.073436, -0.071536, -0.066145, -0.0555, -0.054649, -0.05331, -0.053137, -0.047586, -0.045625, -0.032093, -0.02192, -0.018135, -0.0177, -0.016857, -0.009266, -0.005223, -0.003636]"
28,2729,"[""不是"", ""到"", ""脖子"", ""着"", ""当众"", ""世间"", ""啥"", ""北京"", ""检举"", ""联想"", ""？"", ""那白"", ""璟"", ""兄弟"", ""随后"", ""被"", ""知道"", ""钢丝""]","[0.000245, 0.000209, 0.000195, 0.000168, 0.000168, 0.000165, 0.00016, 0.000155, 0.000152, 0.000148, 0.000146, 0.000145, 0.000143, 0.000135, 0.000135, 0.000132, 0.000126, 0.000111]","[""集团"", ""话"", ""细"", ""董事长"", ""吗"", ""一起"", ""曾"", ""”"", ""至少"", ""建昊"", ""。"", ""然后""]","[-0.000257, -0.000194, -0.000189, -0.000177, -0.000149, -0.000136, -9e-05, -8.8e-05, -8.2e-05, -8e-05, -7e-05, -6.5e-05]"
29,1323,"[""，"", ""。"", ""本次"", ""所以"", ""便成"", ""公安局"", ""招远市"", ""事件"", ""暴徒"", ""金矿"", ""关押"", ""保护伞"", ""企业法人"", ""索贿"", ""帮凶"", ""局长"", ""年"", ""12"", ""因"", ""罚金"", ""长期"", ""矿主"", ""私自"", ""关系"", ""孙宝东""]","[0.004357, 0.002518, 0.002038, 0.001442, 0.001436, 0.001425, 0.001363, 0.00134, 0.001273, 0.00102, 0.000979, 0.000975, 0.000914, 0.000841, 0.000814, 0.000795, 0.000787, 0.000769, 0.00076, 0.000695, 0.000675, 0.000647, 0.000563, 0.000468, 0.000441]","[""犯罪"", ""证据"", ""而"", ""张立东"", ""便""]","[-0.000625, -0.000622, -0.000587, -0.000481, -0.000472]"
30,3343,"[""让"", ""发生"", ""授课"", ""接替"", ""吕某"", ""身份"", ""河西"", ""表示"", ""的"", ""教师"", ""职务"", ""月"", ""张掖市"", ""甘肃"", ""及""]","[0.009572, 0.009446, 0.008849, 0.006851, 0.006514, 0.005907, 0.005836, 0.005687, 0.005582, 0.005517, 0.005266, 0.00511, 0.005089, 0.004472, 0.003869]","[""..."", ""全文"", ""互扇"", ""#"", ""视频"", ""解聘"", ""事件"", ""日"", ""耳光"", ""展开"", ""鞠躬"", ""校方"", ""】"", ""学院"", ""采访""]","[-0.018253, -0.016779, -0.015979, -0.014381, -0.011341, -0.011327, -0.011182, -0.010926, -0.010708, -0.009954, -0.009896, -0.009851, -0.009759, -0.009527, -0.009072]"
31,3145,"[""女"", ""因其"", ""养不活"", ""二人"", ""拼命"", ""当地"", ""死"", ""仍入"", ""但"", ""为了"", ""工人"", ""自缢"", ""下岗"", ""杂谈"", ""不薄出"", ""干活"", ""封锁消息"", ""！"", ""上吊""]","[0.001216, 0.001091, 0.00102, 0.000912, 0.00091, 0.000895, 0.000877, 0.000843, 0.000836, 0.000804, 0.000735, 0.000672, 0.00067, 0.000643, 0.000577, 0.000554, 0.000505, 0.000441, 0.000389]","[""，"", ""选择"", ""怎样"", ""特长"", ""、"", ""两个"", ""擦皮鞋"", ""双双"", ""个"", ""这是"", ""撇下""]","[-0.001191, -0.000961, -0.000811, -0.000604, -0.000586, -0.0005, -0.000375, -0.000325, -0.000323, -0.000203, -0.000156]"
32,5976,"[""北斗"", ""出名"", ""白岩松"", ""还"", ""，"", ""它养"", ""扇贝"", ""船只"", ""因为"", ""很"", "","", ""利润"", ""了""]","[0.17824, 0.072724, 0.069825, 0.067522, 0.056792, 0.056548, 0.05617, 0.052627, 0.051046, 0.048547, 0.0371, 0.030027, 0.029999]","[""证监会"", ""上市公司"", ""定位"", ""岛"", ""一系列"", ""导航系统"", ""定性"", ""公司"", ""条"", ""股民"", ""认定"", ""等"", ""对"", ""的"", ""谈"", ""给"", ""。""]","[-0.16218, -0.143028, -0.119307, -0.117176, -0.10322, -0.100681, -0.085008, -0.079937, -0.057521, -0.051951, -0.050394, -0.049457, -0.049133, -0.042963, -0.038545, -0.035678, -0.035246]"
33,1923,"[""逃过"", ""邮递"", ""湖北"", ""也"", ""襄阳"", ""全省"", ""星际"", ""没"", ""封省""]","[0.005161, 0.004763, 0.004691, 0.004551, 0.004492, 0.004252, 0.003824, 0.003092, 0.000822]","[""...."", "" ""]","[-0.006358, -0.001301]"
34,1916,"[""威宁"", ""大家"", ""了"", ""牵连"", ""通知"", ""车上"", ""回来"", ""武汉"", ""转发"", ""确诊"", ""车牌号"", ""偷跑"", ""报警"", ""留意"", ""传染"", ""这个"", ""B"", ""的"", ""朋友圈"", ""与"", ""看到"", ""此""]","[0.000582, 0.00055, 0.000545, 0.000507, 0.000498, 0.000456, 0.000437, 0.000428, 0.000426, 0.000419, 0.000381, 0.000374, 0.000364, 0.000345, 0.000314, 0.000311, 0.000308, 0.000216, 0.000206, 0.000182, 0.000167, 0.000163]","[""L0535"", "" "", ""，"", ""以免"", ""好友"", ""回"", ""受到"", ""车刚""]","[-0.000896, -0.000486, -0.000426, -0.00027, -0.000212, -0.000204, -0.000177, -0.00013]"
35,5609,"[""现已"", ""，"", ""治安"", ""男生"", ""网友"", ""遗照"", ""公开"", ""和"", ""贵校"", ""以上"", ""多次""]","[0.014619, 0.009262, 0.008081, 0.0079, 0.007714, 0.006297, 0.00628, 0.005936, 0.005842, 0.005431, 0.005349]","[""..."", ""长春"", ""违法行为"", ""治安管理"", ""规定"", ""情节"", ""全文"", ""言论"", ""违反"", ""@"", ""展开"", ""构成"", ""处以"", ""利用网络"", ""现"", ""致"", ""10"", ""要人肉"", ""较重""]","[-0.022563, -0.017034, -0.014341, -0.014288, -0.012826, -0.012772, -0.01229, -0.010617, -0.010117, -0.008737, -0.007616, -0.007287, -0.006572, -0.006202, -0.006015, -0.005665, -0.005506, -0.004834, -0.004562]"
36,1171,"[""洛阳市"", ""一件"", ""衬衣"", ""阿帆"", ""拿"", ""与"", ""老太太"", ""y1"", ""同城会"", ""大事"", ""李小闹"", ""交叉口"", ""申冤"", ""西苑"", ""阿"", ""涧西区"", ""牡丹"", ""脱光"", ""被"", ""上"", ""的"", ""琪"", ""过""]","[0.000916, 0.000908, 0.000891, 0.000871, 0.000818, 0.000809, 0.000785, 0.000764, 0.000759, 0.000748, 0.00065, 0.000608, 0.000607, 0.000606, 0.000596, 0.000568, 0.000527, 0.000525, 0.000488, 0.000479, 0.000459, 0.000428, 0.000393]","[""......"", ""几手"", ""路"", ""呢"", "","", ""琪琪"", ""手里""]","[-0.001966, -0.001254, -0.000963, -0.000362, -0.000347, -0.000305, -0.00028]"
37,736,"[""。"", ""，"", ""逃亡"", ""、"", ""情妇"", ""党员干部"", ""名"", ""严重"", ""涉嫌犯罪"", ""有关"", ""美女"", ""”"", ""办"", ""宝山区"", ""已"", ""违纪"", ""社保局"", ""邱晓华"", ""张曼玉"", ""考虑"", ""化名"", ""与"", ""！"", ""江苏"", ""的"", ""将"", ""都""]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[""又"", ""为"", ""万""]","[-0.0, -0.0, -0.0]"
38,797,"[""高考"", ""厦门大学"", ""！"", ""新生"", ""准大一"", ""成绩"", ""她"", ""公道"", ""帮"", ""的"", ""掉包"", ""被"", ""夭折""]","[0.003438, 0.002625, 0.00209, 0.001951, 0.001257, 0.000828, 0.000651, 0.000637, 0.000558, 0.000287, 0.000277, 0.000243, 0.000107]","[""我们"", ""讨个"", ""让""]","[-0.002224, -0.000822, -0.000146]"
39,2686,"[""点上"", ""！"", ""东部"", ""天堂"", ""了"", ""蜡烛"", ""岁"", ""今年"", ""爆炸事件"", ""在"", ""4"", ""君"", ""生命"", ""2"", ""波士顿"", ""路"", ""愤怒"", ""8"", ""请"", ""小宝贝""]","[1.3e-05, 1.2e-05, 1.1e-05, 1.1e-05, 1.1e-05, 1e-05, 1e-05, 1e-05, 1e-05, 1e-05, 1e-05, 9e-06, 8e-06, 8e-06, 7e-06, 7e-06, 7e-06, 6e-06, 6e-06, 5e-06]","[""]"", ""["", ""【"", ""15"", ""马拉松"", ""点"", ""奔跑"", ""恐怖袭击"", ""可以"", ""，""]","[-2.1e-05, -1.6e-05, -1.4e-05, -1.3e-05, -1.1e-05, -9e-06, -8e-06, -7e-06, -6e-06, -6e-06]"
